ID,BUILDING_DEPARTMENT,TYPE,DEPARTMENT_NAME,AND_DEPARTMENT_NAME,MATCH_GCC,Notes,BD_STAFF_COUNT,BD_STAFF_POS,BD_STAFF_TOTAL_WAGES,EmployerPopulation,EmployerCounty
CIT.015,ARCADIA,CITY,Development Services,,Yes,,31,"Admin Intern, Administrative Assistant, Administrative Assistant, Administrative Assistant, Assistant City Manager/Dsd Director, Assistant Engineer, Assistant Engineer, Assistant Planner, Associate Planner, Building Inspector, Building Official, Building Technician, Business License Officer, City Engineer, Code Service Officer, Code Services Supervisor, Deputy Development Services Director, Economic Development Manager, Management Analyst, Planning Svc Manager, Plans Examiner, Principal Civil Engineer, Senior Building Inspector, Senior Building Inspector, Senior Building Technician, Senior Code Services Officer, Senior Planner, Senior Planner, Sr Admin Asst, Sr Admin Asst, Transport Services Manager",3073056.0,56116.0,Los Angeles
CIT.016,ARCATA,CITY,Public Works Administration,,Yes,,19,"Administrative Aide, Administrative Specialist, Assistant City Engineer, Building Inspector, Building Inspector/Code Compliance Assistant, Building Official, City Engineer, Engineering Aide, Engineering Techncian I, Engineering Techncian I, Engineering Techncian II, Engineering Techncian II, Permit & Code Compliance Technician, Professional Expert, Professional Expert, Project and Grant Manager, Senior Project Manager, Senior Project Manager, Transit Operations Assistant",1029629.0,19001.0,Humboldt
CIT.017,ARROYO GRANDE,CITY,Community Development,,Yes,,9,"Assistant Planner, Associate Planner, Building Permit Technician, Comm Development Intern - Typist, Community Services Specialist, Director Of Comm Develop, Office Assistant I - CD Typist, Planning Manager, Planning/Engineering Permit Technician",718054.0,17910.0,San Luis Obispo
CIT.018,ARTESIA,CITY,Community Development,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.019,ARVIN,CITY,Building,,Yes,,4,"Building Inspector, Engineer, Permit Technician, Planner",293508.0,19991.0,Kern
CIT.020,ATASCADERO,CITY,Community Development,,Yes,,19,"Administrative Assistant - CD, Assistant Planner, Associate Planner, Building Inspector I, Building Inspector I, Building Inspector I, Chief Building Official, Community Development Director, Deputy Community Development Director/Building. Official/Economic Development, Deputy Economic & Business Development Director, Office Assistant III, Part-Time Worker 16-601, Part-Time Worker 16-601, Part-Time Worker 17, Part-Time Worker 29-601, Permit Technician, Permit Technician, Planning Manager, Senior Planner",1343007.0,30134.0,San Luis Obispo
CIT.022,ATWATER,CITY,Community Development,,Yes,,10,"Administrative Assistant I, Administrative Assistant I, Administrative Assistant II, Building Permit Technician, CDD Director, Chief Building Official/Fire Code Official, City Engineer, City Engineering Assistant, Executive Assistant, Project Accountant/Successor Agency Assistant",775464.0,31862.0,Merced
CIT.023,AUBURN,CITY,Building,,Yes,,4,"Building Inspector, Building Official, Permit Technician, Senior Building Inspector",233771.0,13286.0,Placer
CIT.024,AVALON,CITY,Planning,,Yes,,2,"Building Official, Senior Administrative Assistant",168327.0,3383.0,Los Angeles
CIT.025,AVENAL,CITY,Building Dept,Community Development,Yes,,3,"Building Assistant, Intern, Intern",49940.0,13315.0,Kings
CIT.026,AZUSA,CITY,Community Improvement,Building Regulations,Yes,1 inspector in the building regulations and the rest should be in community improvement,12,"Building Inspector I, Building Technician, Community Improvement Inspector, Community Improvement Inspector, Community Improvement Inspector, Community Improvement Inspector, Community Improvement Inspector, Community Improvement Manager, Economic & Comm Dev Director, Economic Development Specialist, Senior Admin Specialist, Sr Commun Improvement Insp",1077369.0,48988.0,Los Angeles
CIT.027,BAKERSFIELD,CITY,Community Development,,Yes,,137,"Accountant I, Admin & Fiscal Services Specialist I, Administrative Analyst III, Assistant Building Director, Assistant Code Enforcement Officer, Assistant Code Enforcement Officer, Assistant Code Enforcement Officer, Assistant Code Enforcement Officer, Assistant Planner, Assistant Planner, Assistant Planner, Assistant Planner, Assistant Planner, Assistant Planning Director, Assistant Planning Director, Associate Planner, Associate Planner, Associate Planner, Associate Planner, Associate Planner, Building Director, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector III, Building Inspector III, Building Inspector III - Electrical Specialist, Building Inspector III - Plumbing & Mech, Civil Engineer III, Civil Engineer III, Clerk Typist II, Clerk Typist II, Clerk Typist II, Code Enforcement Manager, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Supervisor, Code Enforcement Supervisor, Code Enforcement Supervisor, Code Enforcement Supervisor, Code Enforcement Supervisor, Community Development Principal, Development Services Director, Development Services Director, Development Services Tech, Development Services Tech, Development Services Tech, Development Services Tech, Development Services Tech, Development Services Tech, Development Services Tech, Development Services Tech, Economic & Community Development Director, Economic & Community Development Manager, Economic & Community Development Manager, Economic & Community Development Planner I, Economic & Community Development Planner I, Economic & Community Development Planner I, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Planner II, Economic & Community Development Principal Planner, Economic & Community Development Principal Planner, Economic & Community Development Specialist, Engineer II, Engineer II, Fiscal & Admin Services Officer I, Fiscal & Admin Services Officer II, Homeless Services Principal, Light Equipment Operator, Light Equipment Operator, Light Equipment Operator, Light Equipment Operator, Light Equipment Operator, Light Equipment Operator, Light Equipment Operator, Operations Support Specialist, Plan Checker-Electrical Specialist, Plan Checker-Plumbing & Mech Specialist, Plan Checker-Residential Specialist, Plan Checker-Residential Specialist, Plan Checker-Residential Specialist, Planning Director, Principal Planner, Principal Planner, Secretary I, Secretary I, Secretary II, Service Maintenance Worker, Service Maintenance Worker, Service Maintenance Worker, Service Maintenance Worker, Service Maintenance Worker, Service Maintenance Worker, Service Maintenance Worker, Service Maintenance Worker, Streets Maintenance Worker, Supervisor I, Supervisor II",9506456.0,419238.0,Kern
CIT.028,BALDWIN PARK,CITY,Community Development,,Yes,,34,"Administrative Clerk II, Associate Planner, Associate Planner, Building Inspector, Building Inspector, Building Official/ Plan Check Supervisor, Building/Engineering Permit Technician, City Planner, Commissioner, Commissioner, Commissioner, Commissioner, Commissioner, Community Enhancement Officer, Community Enhancement Officer, Community Enhancement Officer, Community Enhancement Supervisor, Construction Clerk, Construction Clerk, Director Of Community Development, Housing Inspector, Housing Manager, Housing Manager, Housing Programs Coordinator, Housing Specialist, Housing Specialist, Housing Specialist, Intern, Intern, Intern, Intern, Intern, Management Analyst, Senior Housing Specialist",1655608.0,70848.0,Los Angeles
CIT.029,BANNING,CITY,Building Safety/Building,,Caveat,Not in 2024 data but in previous years,3,,,,
CIT.030,BARSTOW,CITY,Community Development - Building,Community Development Admin,Yes,,13,"Code Compliance Officer, Code Compliance Officer, Code Compliance Officer, Code Compliance Officer, Code Compliance Supervisor, Community Devel Inspector I, Community Devel Inspector I, Community Development Director, Senior Community Devel Inspect, Senior Community Devel Inspect, Administrative Analyst, Administrative Assistant, Economic Development Specialist",1327385.0,24811.0,San Bernardino
CIT.031,BEAUMONT,CITY,Building And Safety,,Caveat,Not in 2024 data but in previous years,0,,,,
CIT.032,BELL,CITY,Community Development > Building & Safety,Community Development,Yes,Likely include other function ,10,"Assistant Planner, Assistant To The City Manager, Associate Planner, Community Development Director, Economic Development Specialist, Housing Rehabilitation Technician, Management Aide, Management Aide, Permit Technician, Sr Economic Development Specialist",697022.0,33315.0,Los Angeles
CIT.033,BELL GARDENS,CITY,Community Development > Building & Safety,Community Development,Yes,,13,"Associate Planner, Building Services Supervisor, Business License/Building Permit Technician, Business License/Building Permit Technician, Code Enforcement Officer, Code Enforcement Officer, Combination Building Inspector I, Deputy City Manager/Director Of Community Development, Housing Inspector/Code Enforcement Officer, Housing Programs Manager, Housing Specialist I, Office Assistant, Secretary",896499.0,38471.0,Los Angeles
CIT.034,BELLFLOWER,CITY,Public Safety,,Yes,,23,"Code Enforcement Inspector I, Code Enforcement Inspector II, Code Enforcement Inspector II, Code Enforcement Inspector II, Code Enforcement Supervisor, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer I, Community Services Officer II, Community Services Officer II, Community Services Officer II, Director Of Public Safety, Executive Assistant I, Executive Assistant III, Public Safety Manager, Senior Community Services Officer",1655684.0,76656.0,Los Angeles
CIT.035,BELMONT,CITY,Permit Center,,Yes,,7,"Assistant Planner, Associate Planner, Building Inspector I, Building Inspector I, Chief Building Official, Office Assistant II, Senior Permit Technician",629360.0,28206.0,San Mateo
CIT.036,BELVEDERE,CITY,Planning & Building,,Yes,,7,"Associate Planner, Building & Planning Technician, Building Inspector II, Building Official, Director Of Planning & Building, Intern, Intern",691832.0,2058.0,Marin
CIT.037,BENICIA,CITY,Community Development Department,,Yes,,13,"Assistant City Manager/Community Development Director, Assistant Planner, Associate Planner, Building Inspection Supervisor, Building Inspector I, Community Development Coordinator, Deputy Community Development Department Director/Building Official, Development Services Technician I, Development Services Technician II, Permit Services Specialist, Planning Manager, Senior Management Analyst, Senior Planner",1470757.0,26195.0,Solano
CIT.038,BERKELEY,CITY,Plan-Building & Safety - Building,,Yes,,13,"1220 Supervisor Building Inspector, 3000 Building Inspector I C, 3000 Building Inspector I C, 3000 Building Inspector I C, 3000 Building Inspector I C, 3000 Building Inspector I C, 3005 Building Inspector II C, 3005 Building Inspector II C, 3036 Senior Building Inspector, 3036 Senior Building Inspector, 3036 Senior Building Inspector, 9012 Assistant Inspector, 9016 Program Manager II",1445383.0,128348.0,Alameda
CIT.039,BEVERLY HILLS,CITY,CD - Building & Safety,,Yes,,29,"Building Inspection Manager, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Customer Service Representative, Customer Service Representative, Customer Service Representative, Customer Service Representative, Deputy Building Official, Development Services Technician II, Management Analyst, Permit Center Supervisor, Principal Planner, Project Staff Assistant, Project Staff Assistant, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Plan Review Engineer, Senior Plan Review Engineer, Senior Plan Review Engineer, Senior Plan Review Engineer",3671757.0,31945.0,Los Angeles
CIT.040,BIG BEAR LAKE,CITY,Development Services,,Caveat,"combined with many function, around 4 ppl",4,,,,
CIT.041,BIGGS,CITY,,,Caveat,No position in GCC,0,,,,
CIT.042,BISHOP,CITY,,,Caveat,No position in GCC,0,,,,
CIT.043,BLUE LAKE,CITY,Building,,Yes,,1,Building Official,20895.0,1136.0,Humboldt
CIT.044,BLYTHE,CITY,Development Services,,Yes,,5,"Chief Bldg. Inspector, Code Compliance Officer I, Code Compliance Officer II, Graffiti Control Technician, Permit Technician",316397.0,15400.0,Riverside
CIT.045,BRADBURY,CITY,,,Caveat,No position in GCC,0,,,,
CIT.046,BRAWLEY,CITY,Building Inspections,Community and Economic Development,Yes,,5,"Admin Secretary, Building Inspector, Building Inspector, Interim Building Official, Bookkeeper",308195.0,28952.0,Imperial
CIT.047,BREA,CITY,Community Development,,Yes,,25,"Administrative Clerk II, Administrative Clerk II, Administrative Clerk II, Administrative Intern, Administrative Intern, Assistant Planner, Assistant Planner, Assistant Planner, Building Official, City Planner, Code Enforcement Officer, Combination Inspector I, Community Development Manager, Community Development Specialist, Deputy City Manager/Director, Executive Assistant, Junior Plans Checker, Junior Plans Checker, Management Analyst I, Permit Technician, Permit Technician, Planning Technician, Senior Management Analyst, Senior Planner, Senior Planner",1854440.0,47900.0,Orange
CIT.048,BRENTWOOD,CITY,Community Development,,Yes,,32,"Administrative Assistant I, Administrative Assistant II, Administrative Assistant II, Administrative Secretary, Administrative Supervisor, Associate Planner, Associate Planner, Building Inspector II, Building Inspector II, Chief Building Official, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Supervisor, Community Development Specialist, Community Development Technician, Community Development Technician, Community Development Technician, Development Services Manager, Director Of Community Development, Planning Commission, Planning Commission, Planning Commission, Planning Commission, Planning Commission, Planning Manager, Senior Analyst, Senior Building Inspector, Senior Code Enforcement Officer, Senior Planner, Senior Planner, Senior Technician",2960078.0,65747.0,Contra Costa
CIT.049,BRISBANE,CITY,Planning,,Yes,,12,"Administrative Assistant, Administrative Assistant, Associate Planner, Building Permit Technician, Community Development Director, Community Development Technician, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Principal Planner, Senior Planner",994244.0,4676.0,San Mateo
CIT.050,BUELLTON,CITY,Planning,,Yes,Likely include other function ,5,"Assistant Planner, Associate Planner, Planning Director, Planning Tech/Staff Assistant, Planning Tech/Staff Assistant",357326.0,5091.0,Santa Barbara
CIT.051,BUENA PARK,CITY,Community Development,,Yes,Likely include other function ,45,"Administrative Assistant, Assistant Planner, Assistant Planner, Assistant Planner, Associate Planner, Building & Safety Manager, Building Inspector, Building Inspector, Business License Tech  PT, Business License Tech  PT, CDBG Committee Commission, CDBG Committee Commission, CDBG Committee Commission, CDBG Committee Commission, CDBG Committee Commission, Code Enforcement Off PT, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Supervisor, Director Of Community Development, Facilities Maintenance Worker PT, Facilities Maintenance Worker PT, Housing & CDBG Analyst, Management Analyst, Office Assistant PT, Office Assistant PT, Permit Technician, Permit Technician, Permit Technician, Planning Aide PERS Exclusion, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Manager, Senior Administrative Assistant, Senior Administrative Assistant, Senior Building Insp/Plan Checker, Senior Management Analyst, Senior Office Assistant, Senior Planner, Senior Planner, Sustainability Manager",2675395.0,82667.0,Orange
CIT.052,BURBANK,CITY,Community Development Department,,Yes,,109,"Administrative Analyst I, Administrative Analyst I, Administrative Analyst I, Administrative Analyst II, Administrative Analyst II, Administrative Analyst II, Administrative Analyst II, Administrative Analyst II, Administrative Officer, Assistant Community Development Director - Business And Economic Development, Assistant Community Development Director-Building Official, Assistant Community Development Director-Transportation And Planning, Assistant Community Development Director-Transportation And Planning, Assistant Planner, Assistant Planner, Assistant Planner, Associate Planner, Associate Planner, Associate Planner, Associate Planner, Associate Planner, Associate Planner, Associate Transportation Planner, Building Administration Manager, Building Administration Manager, Building Inspection Manager, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector I, Building Inspector II, Building Inspector II, Building Inspector III, Building Inspector III, Building Inspector III, Building Inspector III, Building Inspector III, Clerical Worker, Clerical Worker, Clerical Worker, Clerical Worker, Clerical Worker, Clerical Worker, Clerical Worker, Code Compliance Inspector II, Code Compliance Inspector II, Code Compliance Manager, Code Compliance Manager, Community Development Director, Economic Development Manager, Executive Assistant, Housing Assistant, Housing Assistant, Housing Assistant, Housing Assistant, Housing Assistant, Housing Authority Manager, Housing Development Manager, Housing Development Manager, Housing Development Manager, Housing Specialist, Intermediate Clerk, Intermediate Clerk, Intermediate Clerk, Parking Analyst, Permit Coordinator, Permit Technician, Permit Technician, Permit Technician, Permit Technician, Permit Technician, Permit Technician, Plan Check Engineer, Plan Check Engineer, Plan Check Engineer, Plan Check Manager, Planning Manager, Planning Technician, Principal Clerk, Principal Plan Check Engineer, Principal Planner, Principal Planner, Principal Planner, Real Estate And Project Manager, Real Estate And Project Manager, Senior Administrative Analyst, Senior Administrative Analyst, Senior Administrative Analyst, Senior Administrative Analyst, Senior Clerk, Senior Code Compliance Inspector, Senior Plan Check Engineer, Senior Planner, Senior Planner, Senior Planner, Senior Transportation Planner, Senior Transportation Planner, Transportation Operations Supervisor, Transportation Scheduler, Transportation Scheduler, Transportation Services Driver, Transportation Services Driver, Transportation Services Driver, Transportation Services Driver, Transportation Services Driver, Transportation Services Driver, Transportation Services Driver, Transportation Services Driver, Transportation Services Manager",9826730.0,106146.0,Los Angeles
CIT.053,BURLINGAME,CITY,Building,,Yes,,11,"Building Inspector I, Building Inspector II, Building Inspector II, Chief Building Official, Management Analyst, Permit Technician, Permit Technician, Permit Technician, Senior Building Inspector, Senior Building Inspector, Sr Green Building Specialist",1225363.0,31552.0,San Mateo
CIT.054,CALABASAS,CITY,Building Inspection,,Yes,,8,"Building Assistant, Building Assistant, Building Inspector, Building Inspector, Building Official, Executive Assistant I, Permit Center Supervisor, Senior Building Inspector",751208.0,22797.0,Los Angeles
CIT.055,CALEXICO,CITY,Building & Code Enforcement,,Caveat,Not in 2024 data but in previous years,7,,,,
CIT.056,CALIFORNIA CITY,CITY,Building,,Yes,Likely +1 public safety director in Administration,2,"Administrative Secretary, Building Inspector",139449.0,13317.0,Kern
CIT.057,CALIMESA,CITY,Planning,,Yes,,3,"Planning Director, Planning Technician, Senior Planner",216372.0,10994.0,Riverside
CIT.058,CALIPATRIA,CITY,Planning,,Yes,,0,,,6061.0,Imperial
CIT.059,CALISTOGA,CITY,Planning,,Yes,,5,"Associate Planner, Permit Technician, Permit Technician, Planning & Building Director, Professional/Technical",396848.0,5160.0,Napa
CIT.060,CAMARILLO,CITY,,,Yes,,0,,,,
CIT.061,CAMPBELL,CITY,Community Development Building,,Yes,,7,"Building Inspector, Building Inspector, Building Official, Permit Technician, Permit Technician, Plan Check Examiner, Senior Building Inspector",881756.0,43281.0,Santa Clara
CIT.062,CANYON LAKE,CITY,Building And Safety,,Yes,,3,"Building Permit Technician I, Building Permit Technician II, Senior Building Inspector/Deputy Building Official",198232.0,11004.0,Riverside
CIT.063,CAPITOLA,CITY,Community Development,,Yes,,10,"Associate Planner, Building Official, Community Development Director, Development Services Technician, Planning Commission Member, Planning Commission Member, Planning Commission Member, Planning Commission Member, Retired Annuitant, Senior Planner",597536.0,9670.0,Santa Cruz
CIT.064,CARLSBAD,CITY,Cd Building & Code Enforcement,,Yes,,24,"Building Inspector II, Building Inspector II, Building Inspector II, Building Official, Building Technician II, Building Technician II, Building Technician II, Code Enforcement Manager, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, H/Admin. Assistant, H/Admin. Assistant, H/Admin. Assistant, H/Admin. Assistant, H/Professional, H/Professional, H/Professional, H/Technical Assistant, Senior Building Inspector, Senior Office Specialist, Sr Code Enforcement Officer",1384015.0,116368.0,San Diego
CIT.065,Carmel-By-The-Sea,CITY,BP Building,,Yes,,3,"AT - Building Official, L - Building Inspector, L - Permit Technician",336813.0,3049.0,Monterey
CIT.066,CARPINTERIA,CITY,Community Development,,Yes,,12,"Admin Assistant II, Assistant Planner - lieutenant, Associate Planner, Chief Building Inspector, Code Compliance Officer II, Code Compliance Supervisor, Community Development Director, Crossing Guard, Crossing Guard, Principal Planner - C, Principal Planner - lieutenant, Senior Planner",1061768.0,12735.0,Santa Barbara
CIT.067,CARSON,CITY,Community Development,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.068,CATHEDRAL,CITY,Building,,Yes,,0,,,,
CIT.069,CERES,CITY,Building,,Yes,(Hosted by  Stanislaus County??) ,1,Building Permit Technician,52657.0,49305.0,Stanislaus
CIT.070,CERRITOS,CITY,Comm Dev Director's Office,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.071,CHICO,CITY,Community Development - Building,,Yes,,20,"Administrative Assistant, Administrative Specialist, Administrative Specialist, Building Plans Examiner II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Supervisor, Combination Inspector I, Combination Inspector II, Combination Inspector II, Combination Inspector II, Community Development Front Counter Supervisor, Deputy Community Development Director, Management Analyst, Permit Technician, Permit Technician, Senior Plans Examiner, Senior Plans Examiner, Supervising Inspector",1457670.0,113847.0,Butte
CIT.072,CHINO,CITY,Building Services,,Yes,,0,,,,
CIT.073,CHINO HILLS,CITY,Building Services,,Yes,,7,"Assistant Building Official, Building Inspector II, Building Official, Permit Technician II, Permit Technician II, Senior Building Inspector, Senior Permit Technician",801738.0,77314.0,San Bernardino
CIT.074,CHOWCHILLA,CITY,Community Dev Dept,,Yes,,5,"Community/Economic Development Director, Community/Economic Development Specialist, Permit Technician I, Project Permit Supervisor, Senior Building Inspector",311131.0,18742.0,Madera
