ID,BUILDING_DEPARTMENT,TYPE,DEPARTMENT_NAME,AND_DEPARTMENT_NAME,MATCH_GCC,Notes,BD_STAFF_COUNT,BD_STAFF_POS,BD_STAFF_TOTAL_WAGES,EmployerPopulation,EmployerCounty
CIT.155,GLENDORA,CITY,Community Development,,Yes,,0,,,,
CIT.156,GOLETA,CITY,Planning Environmental Review,,Yes,"Likely also include other functions; estimated, seems to lack engineering team",23,"Assistant Planner, Associate Planner, Associate Planner, Associate Planner, Code Compliance Officer, Code Compliance Officer, Intern, Intern II, Management Analyst, Management Assistant, Office Specialist, Permit Technician, Planning And Environmental Review Director, Planning Commission Clerk, Planning Manager, Planning Manager, Senior Housing Analyst, Senior Planner, Senior Planner, Supervising Planner, Supervising Planner, Supervising Planner, Sustainability Manager",2770925.0,32747.0,Santa Barbara
CIT.157,GONZALES,CITY,Planning,,Yes,,7,"Community Development Director, Development Services Technician, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner",199966.0,8434.0,Monterey
CIT.158,GRAND TERRACE,CITY,Planning & Development,,Yes,,8,"Assistant Planner, Assistant Planner, Building Official, Code Enforcement Officer/Animal Control, Code Enforcement Officer/Animal Control, Permit Technician, Planning & Development Director, Senior Code Enforcement Officer/Animal Control",538223.0,12803.0,San Bernardino
CIT.159,GRASS VALLEY,CITY,Community Development,,Yes,,9,"Building Official, City Planner, Community Service Analyst I, Community Service Analyst I, Community Service Analyst II, Dep Public Works Dir, Maintenance Assistant, Senior Planner, Special Assignment Temp",615681.0,13364.0,Nevada
CIT.160,GREENFIELD,CITY,Community Development,,Yes,,5,"Assistant Planner, Community Development Director, Management Analyst, Planning & Building Permit Technician, Planning & Building Permit Technician",444530.0,20785.0,Monterey
CIT.161,GRIDLEY,CITY,,,Caveat,Performed by DSD of Butte County,0,,,,
CIT.162,GROVER BEACH,CITY,Community Development,,Yes,,6,"Administrative Assistant I PW/CD, Assistant Planner, Associate Planner, Code Compliance Off, Community Development Director, Senior Planner",504429.0,12411.0,San Luis Obispo
CIT.163,GUADALUPE,CITY,Planner/Building Department,,Yes,,1,Permit & Planning Tech,82825.0,8851.0,Santa Barbara
CIT.164,GUSTINE,CITY,,,Yes,Third party out to csgengr.com,0,,,,
CIT.165,HALF MOON BAY,CITY,Community Development,,Yes,Likely includes other function,6,"Communications Director/City Clerk, Community Development Director, Community Development Director, Community Preservation Specialist, Housing Coordinator, Permit Technician",821461.0,11303.0,San Mateo
CIT.166,HANFORD,CITY,Community Development - Building Safety,,Yes,,11,"Administrative Analyst I, Building Inspector I, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Official, Development Services Assistant, Development Services Technician, Development Services Technician, Development Services Technician",729410.0,61238.0,Kings
CIT.167,HAWAIIAN GARDENS,CITY,Planning/Community Development,,Yes,Likely includes other function,5,"Administrative Technician, Associate Planner II, Director Community Development, Housing Rehabilitation Supervisor, Housing Technician II",432865.0,13561.0,Los Angeles
CIT.168,HAWTHORNE,CITY,Building & Safety,,Yes,,7,"5135 Associate Building Inspector, 5135 Associate Building Inspector, 5150 Building Permit Technician, 5283 Com Services-Public Works Tech, 5930 Senior Building Inspector, 5940 Senior Engineer, 8671 Building Inspector Pt Pers",386637.0,85653.0,Los Angeles
CIT.169,HAYWARD,CITY,Development Services,,Yes,,60,"Administrative Clerk II, Administrative Clerk II, Administrative Secretary, Assist Civil Engineer, Assistant Planner, Assistant Planner, Assistant Planner, Associate Planner, Building Inspector, Building Inspector, Building Inspector, Building Inspector, Building Inspector, City Building Official, Code Enforcement Inspector I, Code Enforcement Inspector II, Code Enforcement Inspector II, Code Enforcement Inspector II, Code Enforcement Inspector II, Code Enforcement Inspector II, Code Enforcement Manager, Community Programs Specialist, Dep Dir Of Dev Services, Director Of Development Svcs, Housing Development Specialist, Landscape Architect, Landscape Architect, Landscape Architect, Management Analyst I, Management Analyst II, Management Analyst II, Permit Technician I, Permit Technician I, Permit Technician II, Permit Technician II, Plan Checker, Plan Checking Engineer, Planning Manager, Principal Planner, Secretary, Secretary, Secretary, Senior Civil Engineer, Senior Permit Technician, Senior Plan Checker, Senior Planner, Senior Planner, Senior Planner, Senior Secretary, Senior Secretary, Senior Secretary, Sr Bldg. Inspector/Electrical, Sr Bldg. Inspector/Plum-Mech, Sr Bldg. Inspector/Structural, Sr Code Enforcement Inspector, Sr Code Enforcement Inspector, Supervising Building Inspector, Supervising Permit Technician, Supervising Plan Checker & Exped, Temp Permit Technician I",6739883.0,162359.0,Alameda
CIT.170,HEALDSBURG,CITY,Planning,,Yes,,9,"Administrative Technician, Assistant Planner, Building Inspector II, Building Official, Community Development Director, Development Services Technician II, Development Services Technician II, Senior Building Inspector, Senior Planner",1134087.0,10972.0,Sonoma
CIT.171,HEMET,CITY,Department Of Life Safety (DLS),,Yes,,37,"Building Inspector I, Building Technician I, Building Technician I, Building Technician II, Chief Building Official/Deputy Fire Marshal, Chief Building Official/Deputy Fire Marshal, Code Compliance Manager, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Community Risk Reduction Cadet, Fire Prevention Officer, Fire Prevention Officer, Intern II, Office Specialist I, Office Specialist III, Office Specialist III, Senior Building Inspector",1105378.0,91934.0,Riverside
CIT.172,HERCULES,CITY,Community Development,,Yes,Likely includes other function,9,"Community Development Director, Community Development Specialist, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Public Works Director/Eng/Acm, Senior Planner",757603.0,26225.0,Contra Costa
CIT.173,HERMOSA BEACH,CITY,Community Development,,Yes,Likely includes other function,15,"Administrative Assistant, Assistant Planner, Assistant Planner, Associate Planner, Associate Planner, Building & Code Enforcement Official, Building & Planning Technician, Building & Planning Technician, Building Inspector, Building Inspector, Code Enforcement Officer, Code Enforcement Officer, Community Development Director, Intern, Planning Manager",1405992.0,19014.0,Los Angeles
CIT.174,HESPERIA,CITY,Development Services/Community Development/Building And,,Yes,,15,"Building Inspector, Building Inspector, Building Inspector, Building Inspector, Building Inspector, Building Inspector, Building Official, Community Development Manager, Community Development Supervisor, Community Development Technician, Community Development Technician, Community Development Technician, Plans Examiner, Plans Examiner, Plans Examiner",1023863.0,101792.0,San Bernardino
CIT.175,HIDDEN HILLS,CITY,,,Caveat,Very small town,0,,,,
CIT.176,HIGHLAND,CITY,Building & Safety,,Yes,,2,"Building Official, Permit Technician",213327.0,57088.0,San Bernardino
CIT.177,HOLLISTER,CITY,Community Development,,Yes,,24,"Assistant Engineer, Associate Engineer, Associate Engineer, Associate Planner, Building Official, Cannabis Affairs Manager, CIP Manager, Community Development  Director, Housing Program Coordinator, Management Analyst, Planning Comm, Planning Comm, Planning Comm, Planning Comm, Planning Comm, Planning Comm, Planning Comm, Planning Comm, Planning Manager, Public Work Inspector, Senior Planner, Senior Public Works Inspector, Sr Support Services Assistant, Sr Support Srv Assistant",1780271.0,43492.0,San Benito
CIT.178,HOLTVILLE,CITY,Building/Fire,,Yes,Very small town,1,General Employee,51137.0,5685.0,Imperial
CIT.179,HUGHSON,CITY,Planning And Building,,Yes,Likely includes other function,0,,,7977.0,Stanislaus
CIT.180,HUNTINGTON BEACH,CITY,Planning,,Yes,,57,"Administrative Assistant, Administrative Assistant, Assistant Planner, Assistant Planner, Associate Planner, Associate Planner, Associate Planner, Building Inspection Manager, Building Inspection Supervisor, Building Inspector, Building Inspector, Building Inspector III, Building Official, Code Enforcement Manager, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Technician, Code Enforcement Technician, Code Enforcement Technician, Combination Inspector, Combination Inspector, Combination Inspector, Combination Inspector, Combination Inspector, Community Development Director, Department Assistant (Journey) PARS, Department Ser Aide (Expd) PARS, Deputy Dir Of Comm Devel, Office Assistant II, Permit & Plan Check Supervisor, Permit Technician, Permit Technician, Plan Check Engineer, Planning Manager, Principal Code Enforcement Officer, Principal Code Enforcement Officer, Principal Combination Inspector, Principal Combination Inspector, Principal Management Analyst, Principal Planner, Senior Administrative Assist, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Combination Inspector, Senior Combination Inspector, Senior Geo Infor Systems Analyst, Senior Management Analyst, Senior Management Analyst, Senior Permit Technician, Senior Permit Technician, Senior Permit Technician, Senior Permit Technician, Senior Planner, Senior Planner, Senior Plans Examiner",5118325.0,193134.0,Orange
CIT.181,HUNTINGTON PARK,CITY,Community Development,,Yes,Likely includes other function,25,"Administrative Clerk, Administrative Specialist, Associate Planner, Associate Planner, Civil Service Commissioner, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Director Of Community Development, Health & Education Commissioner, Health & Education Commissioner, Health & Education Commissioner, Health & Education Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Intern, Planning Manager, Project Manager",966501.0,53051.0,Los Angeles
CIT.182,HURON,CITY,Planning,,Yes,,0,,,6932.0,Fresno
CIT.183,IMPERIAL,CITY,Community Development,,Yes,,9,"Administrative Assistant, Building Inspector II, Code Enforcement Inspector, Community Development Director, Community Development Technician, Engineering Technician/Inspector, Organic Waste Monitor, Planner II, Project Manager",705957.0,22866.0,Imperial
CIT.184,IMPERIAL BEACH,CITY,Comm Dev - Bldg. & Housing,,Yes,,1,5070 Building and Planning Tech,53710.0,26369.0,San Diego
CIT.185,INDIAN WELLS,CITY,Community Development,,Yes,,7,"Building Inspector I/Code Enforcement Officer, Building Official & Code Enforcement Manager, Community Development Director, Permit Technician II, Planning Technician I, Senior Administrative Assistant, Senior Planner",895242.0,4862.0,Riverside
CIT.186,INDIO,CITY,Building / Safety,,Yes,,11,"Building Inspector I, Building Inspector I, Building Inspector II, Building Inspector III, Building Inspector Supervisor, Intern / Building Fellow, Permit Technician I, Permit Technician II, Plans Examiner, Plans Examiner, Supervising Plans Examiner",830231.0,92539.0,Riverside
CIT.187,INDUSTRY,CITY,Development Services,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.188,INGLEWOOD,CITY,Development Services,,Yes,,51,"Assistant Plan Check Engineer, Assistant Planner, Assistant Planner, Building Inspector, Building Inspector Supervisor, Building Official, Building Permit Technician, Building Permit Technician, Building Permit Technician, Code Enforcement Coordinator, Code Enforcement Manager, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Supervisor, Code Enforcement Trainee, Code Enforcement Trainee, Code Enforcement Trainee, Code Enforcement Trainee, Code Enforcement Trainee, Code Enforcement Trainee, Code Enforcement Trainee, Development Services Director, Management Assistant, Management Assistant, Plan Check Engineer Supervisor, Planner, Planning Manager, Planning Technician, Planning Technician, Senior Code Enforcement Officer, Senior Management Assistant, Senior Plan Check Engineer, Senior Planner, Senior Planner, Senior Program Specialist-Housing Protec, Staff Assistant, Staff Assistant, Staff Assistant, Staff Assistant",4143418.0,106305.0,Los Angeles
CIT.189,IONE,CITY,Administration,,Yes,,16,"Account Clerk, Account Clerk, Account Clerk, Accountant, Administrative Analysis, Administrative Assistant, Administrative Assistant, Administrative Assistant, Building Official, City Manager, City Manager, Finance Manager, Finance Manager, Grant Coordinator, Management Analyst, Recreation Coordinator",645147.0,9037.0,Amador
CIT.190,IRVINE,CITY,Community Development,,Yes,,134,"Administrative Aide, Administrative Assistant I, Administrative Assistant III, Administrative Assistant III, Assistant Plan Check Engineer, Assistant Plan Check Engineer, Assistant Plan Check Engineer, Assistant Plan Check Engineer, Assistant Planner, Assistant Planner, Assistant Planner, Assistant Planner, Associate Plan Check Engineer, Associate Planner, Associate Planner, Associate Planner, Associate Transportation Analyst, Building Inspection Supervisor, Building Inspection Supervisor, Building Inspection Supervisor, Building Inspection Supervisor, Building Inspection Supervisor, Building Inspector I, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Building Inspector II, Chief Inspection Supervisor, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Supervisor, Code Enforcement Technician, Code Enforcement Technician, Community Development Administrator, Construction Inspector, Construction Inspector, Deputy Building Official, Deputy Director, Community Development, Deputy Director, Community Development, Director Of Community Development, Director Of Community Development, Director, Community Development - Seasonal Part Time, Executive Assistant III, Executive Assistant III, Lead Building Inspector, Lead Permit Specialist, Lead Permit Specialist, Manager, Advance Planning, Manager, Housing, Manager, Transit And Transportation, Permit Specialist I, Permit Specialist I, Permit Specialist I, Permit Specialist I, Permit Specialist I, Permit Specialist I, Permit Specialist I - Part Time, Permit Specialist II, Permit Specialist II, Permit Specialist II, Permit Specialist II, Permit Specialist II, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Plans Examiner, Plans Examiner, Principal Planner, Principal Planner, Principal Planner, Principal Planner, Principal Planner, Principal Planner, Program Assistant - Extended Part Time, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Civil Engineer, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Code Enforcement Officer, Senior Construction Inspector, Senior Construction Inspector, Senior Construction Inspector, Senior Housing Analyst, Senior Management Analyst, Senior Management Analyst, Senior Office Specialist, Senior Office Specialist, Senior Permit Specialist, Senior Permit Specialist, Senior Permit Specialist, Senior Permit Specialist, Senior Permit Specialist, Senior Permit Specialist, Senior Permit Specialist, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Plan Check Engineer, Senior Planner, Senior Planner, Senior Planner, Senior Planner, Senior Planner, Senior Planner, Senior Planner, Senior Transportation Analyst, Senior Transportation Analyst, Senior Transportation Engineer, Water Quality Administrator",14283358.0,318629.0,Orange
CIT.191,IRWINDALE,CITY,Public Works Engineering,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.192,ISLETON,CITY,,,Caveat,Likely use third party,0,,,,
CIT.193,JACKSON,CITY,,,Caveat,Transparent CA show 2 ,2,,,,
CIT.194,JURUPA VALLEY,CITY,Community Development,,Yes,,43,"Administrative Assistant II, Assistant Building Official, Assistant City Manager/Cd Director, Assistant Planner, Associate Planner, Associate Planner, Building Inspection Supervisor, Building Inspection Supervisor, Building Inspector I, Building Inspector I, Building Inspector II, Building Inspector II, Building Permit Technician I, Building Permit Technician I, Building Permit Technician I, Chief Building Official, Code Enforcement Officer I, Code Enforcement Officer I, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Officer II, Code Enforcement Supervisor, Code Enforcement Supervisor, Deputy Director Of Community Dev, Executive Assistant, Housing Manager, Management Analyst, Office Assistant II, Office Assistant II, Permit Services Supervisor, Planning Manager, Planning Technician, Planning Technician, Planning Technician, Senior Building Inspector, Senior Building Permit Technician, Senior Building Permit Technician, Senior Code Enforcement Officer, Senior Office Assistant, Senior Planner, Senior Planner, Senior Planner",3462668.0,105928.0,Riverside
CIT.195,KERMAN,CITY,Administration,,Caveat,"On website, showed 1 contract engineer and the rest are city staff; not seeing link in GCC",4,,,,
CIT.196,KING CITY,CITY,Building & Safety,Planning,Caveat,Based on their website,2,,,,
CIT.197,KINGSBURG,CITY,Planning,,Yes,,4,"Building Official, Community Development Director, Planning Secretary, PT- Nio",320408.0,13285.0,Fresno
CIT.198,LA CANADA FLINTRIDGE,CITY,Community Development,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.199,LA HABRA,CITY,Community & Economic Development,,Yes,,32,"Administration Assistant, Associate Planner, Associate Planner, Building Inspector, Building Inspector, Chief Building Official, Clerk / Laborer, Code Enforcement Inspector, Code Enforcement Inspector, Code Enforcement Supervisor, Director Community & Economic Development, Economic Development & Housing Manager, Economic Development Project Manager, Economic Development Project Manager, Mgt Analyst II, Permit Services Supervisor, Permit Tech I, Permit Tech II, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Commissioner, Planning Manager, PT Rate, Senior Building Inspector, Senior Clerk, Senior Code Enforcement Inspector, Senior Planner, Senior Planner",1777390.0,61202.0,Orange
CIT.200,LA HABRA HEIGHTS,CITY,Community Development,,Yes,,5,"Building Inspector, Code Enforcement Officer, Code Enforcement Officer/ Fire Inspector, Permit Technician, Permit Technician",132977.0,5503.0,Los Angeles
CIT.201,LA MESA,CITY,Community Development,,Yes,,24,"Administrative Coordinator, Assistant Dir Of Comm Dev, Assistant Planner, Associate Planner, Associate Planner, Building Inspector II, Building Official, Building Official, Code Compl. Officer II, Commissioners, Commissioners, Commissioners, Commissioners, Development Services Tech I, Development Services Tech I, Development Services Tech I, Development Services Tech II, Director Of Comm. Development, Engineering Technician II, Intern/Student Worker I, Intern/Student Worker I, Intern/Student Worker I, Management Analyst, Senior Management Analyst",1140797.0,60908.0,San Diego
CIT.202,LA MIRADA,CITY,Community Development,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.203,LA PALMA,CITY,Community Development,,Yes,,0,,,15110.0,Orange
CIT.204,LA PUENTE,CITY,Community Development,,Yes,,5,"Administrative Assistant, Associate Planner, Director Of Development Services, Grants And Housing Analyst, Planning Manager",619393.0,37546.0,Los Angeles
CIT.205,LA QUINTA,CITY,60 - Design & Development,,Yes,,27,"Administrative Assistant, Administrative Assistant, Administrative Technician, Assistant Planner, Associate Planner, Building Inspector, Building Official, Commissions & Boards, Commissions & Boards, Commissions & Boards, Commissions & Boards, Commissions & Boards, Commissions & Boards, Commissions & Boards, Data Reporting Specialist Ft, Deputy Building Official, Design & Development Director, HUB Manager, Permit Technician, Permit Technician, Permit Technician, Planning Manager, Plans Examiner, Senior Building Inspector, Senior Building Inspector, Senior Permit Technician, Senior Planner",1951061.0,38796.0,Riverside
CIT.206,LA VERNE,CITY,Community Development Administration,,Yes,,10,"Administrative Secretary, Assistant Planner, Associate Planner, Code Compliance Officer, Director Of Community Development, Part Time - Administrative Clerk I, Part Time - Administrative Clerk I, Part Time - Administrative Clerk I, Part Time - Planning Intern, Principal Planner",584238.0,32300.0,Los Angeles
CIT.207,LAFAYETTE,CITY,,,Caveat,Lafayette contracts with the Contra Costa County Building Inspection Department (CCCBID) to perform building permit plan-check and inspection services. ,0,,,,
CIT.208,LAGUNA BEACH,CITY,Building Safety,,Yes,,17,"Building Inspector, Building Inspector (CE), Building Official, Building Plan Checker, Building Plan Checker, Chief Building Inspector, Office Specialist, Office Specialist, Office Specialist, Records Management Coordinator, Senior Building Inspector, Senior Building Inspector, Senior Building Inspector, Senior Permit Technician, Senior Permit Technician, Senior Permit Technician, Senior Plan Checker",1803393.0,22763.0,Orange
CIT.209,LAGUNA HILLS,CITY,Community Development,,Yes,,8,"Assistant Planner, Code Enforcement Officer, Community Development Director, Community Development Director, Management Analyst I, Receptionist, Senior Permit Technician, Senior Planner",753467.0,30309.0,Orange
CIT.210,LAGUNA NIGUEL,CITY,Comm Devel-Admin,,Yes,,9,"Community Development Director, Deputy Community Development Director, Management Analyst, Management Assistant, Management Assistant, Receptionist, Receptionist, Receptionist, Secretary",649023.0,65257.0,Orange
CIT.211,LAGUNA WOODS,CITY,,,Caveat,Third party out,0,,,,
CIT.212,LAKE ELSINORE,CITY,3020 B & S,,Yes,,0,,,73783.0,Riverside
CIT.213,LAKE FOREST,CITY,Community Development,,Yes,Likely includes other function,19,"Administrative Specialist, Assistant Director Of Community Development, Associate Planner, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Officer, Code Enforcement Supervisor, Code Enforcement Supervisor, Director Of Community Development, Intern, Management Aide, Management Analyst, Planning Aide, Planning Aide, Records Specialist, Senior Planner, Senior Planner, Senior Planner",1495387.0,87639.0,Orange
CIT.214,LAKEPORT,CITY,Community Development,,Yes,,7,"Administrative Analyst, Administrative Specialist II, Associate Planner, Chief Building Official, Community Development Director, GIS Asset Management Technician, Temporary Hourly",436977.0,5026.0,Lake
CIT.215,LAKEWOOD,CITY,Community Development,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.216,LANCASTER,CITY,Community Development - Building & Safety,,Yes,,13,"Chief Building Official, Coordinator I, Engineer, Engineer, Inspector, Inspector, Inspector, Inspector, Inspector, Technical Assistant, Technical Assistant, Technical Assistant, Technician II",1212756.0,177768.0,Los Angeles
CIT.217,LARKSPUR,CITY,Building Inspection,,Yes,,2,"Chief Building Official, Permit Technician",247423.0,12731.0,Marin
CIT.218,LATHROP,CITY,Public Works,,Yes,,52,"Administrative Assistant I, Administrative Assistant II, Administrative Assistant II, Administrative Assistant II, Assistant City Manager, Assistant Engineer, Assistant Engineer (U), Assistant Engineer (U), Building Inspector I, Building Inspector II, Building Inspector III, Chief Building Official, City Engineer, Compliance Engineer, Construction Inspector II, Construction Inspector III, Construction Superintendent, Electrician Instrument Technician, Executive Assistant, Junior Engineer (U), Maintenance Services Supervisor, Maintenance Worker I, Maintenance Worker I, Maintenance Worker I, Maintenance Worker I (U), Maintenance Worker II, Maintenance Worker II (U), Maintenance Worker III, Maintenance Worker III, Maintenance Worker III, Maintenance Worker III, Maintenance Worker III, Management Analyst, Management Analyst II, Permit Tech II, Permit Tech II, Project Manager, Project Manager, Senior Civil Engineer, Senior Construction Manager, Streets & Maintenance Op. Manager, Utility Operations Superintendent, Utility Operator, Utility Operator I, Utility Operator I, Utility Operator I, Utility Operator II, Utility Operator III, Utility Operator III, Utility Plant Supervisor, Water Meter Reader II, Water Meter Reader II",4885794.0,38596.0,San Joaquin
CIT.219,LAWNDALE,CITY,,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.220,LEMON GROVE,CITY,Development Serv,,Yes,,6,"Assistant Planner, Code Enforcement/Water Quality, Community Dev. Manager, Development Services. Tech II, Planning Intern, Special Admin Project",330479.0,28163.0,San Diego
CIT.221,LEMOORE,CITY,Building Department,,Yes,,0,,,27692.0,Kings
CIT.222,LINCOLN,CITY,Community Development,,Yes,,22,"Admin Analyst II, Assistant Engineer, Assistant Planner, Associate Engineer, Associate Engineer, Associate Planner, Building Inspector I, Building Official, Community Development Director, Engineering Manager, Permit Tech II, Planning Commission, Planning Commission, Planning Commission, Planning Commission, Planning Commission, Planning Manager, Sr Admin Analyst, Sr Engineer, Sr Permit Tech, Sr Planner, Sup Building Inspector",1610195.0,54520.0,Placer
CIT.223,LINDSAY,CITY,,,,,,,,,
CIT.224,LIVE OAK,CITY,Building,,Yes,,1,Chief Building Official,101593.0,9658.0,Sutter
CIT.225,LIVERMORE,CITY,Building,,Yes,,17,"2050 Building Official, 2120 Insp & Neigh Preservation Mgr., 2140 Permit Center Manager, 4040 Administrative Technician, 4050 Division Clerk, 4052 Administrative Clerk I, 4130 Building Inspector I, 4130 Building Inspector I, 4131 Building Inspector II, 4132 Building Inspector III, 4240 Neighborhood Preservation Officer, 4240 Neighborhood Preservation Officer, 4240 Neighborhood Preservation Officer, 4250 Permit Technician, 4251 Permit Technician II, 4260 Plan Check Engineer, 4291 Supervisor Property & Evidence Tech",2121458.0,85899.0,Alameda
CIT.226,LIVINGSTON,CITY,,,,,,,,,
CIT.227,LODI,CITY,Community Development,,Yes,,27,"Administrative Analyst, Administrative Clerk, Asst Engineer/Plans Examiner, Asst Engineer/Plans Examiner, Building Inspector II, Cdd Program Specialist, Chief Building Official, Community Development Director, Community Imprmnt Officer II, Community Imprmnt Officer II, Community Imprmnt Officer II, Community Imprmnt Officer II, Deputy Director/City Planner, Neighborhood Services Manager, Permit Technician, Permit Technician, Permit Technician, Pt - City Planning Commissioner, Pt - City Planning Commissioner, Pt - City Planning Commissioner, Pt - City Planning Commissioner, Pt - City Planning Commissioner, Pt - City Planning Commissioner, Pt - Senior Planner, Senior Building Inspector, Senior Permit Technician, Youth Outreach Worker",1487573.0,67093.0,San Joaquin
CIT.228,LOMA LINDA,CITY,,,,,,,,,
CIT.229,LOMITA,CITY,,,Caveat,Contract out to LA County. See Link: https://dpw.lacounty.gov/bsd/content/contractcities.aspx,0,,,,
CIT.230,LOMPOC,CITY,Community Development/Planning,City Clerk,Yes,,11,"145  City Clerk, 212  Development Services Assistant I, 488  Office Staff Assistant III, 085  Associate Planner, 212  Development Services Assistant I, 212  Development Services Assistant I, 213  Development Services Assistant II, 532  Planning Manager, 570  Principal Planner, 661  Senior Code Enforcement, 838  Pt General Tech W/Pers",698816.0,43424.0,Santa Barbara
CIT.231,LONG BEACH,CITY,,,,,,,,,
CIT.232,LOS ALAMITOS,CITY,Community Development,,Yes,,18,"Associate Planner, Clerical Assistant, Clerical Assistant, Code Enforcement Officer, Code Enforcement Officer, Department Secretary, Department Secretary, Department Secretary, Department Secretary, Development Services Director, Development Services Manager, Econ Development Assistant, Management Analyst, Management Analyst, Management Analyst, Public Works Supervisor, Special Projects Coordinator, Sr. Code Enforcement Officer",1192445.0,12006.0,Orange
CIT.233,LOS ALTOS,CITY,Community Development,,Yes,,26,"Assistant City Manager, Assistant Civil Engineer, Assistant Planner, Associate Planner, Building Inspector, Building Official, City Engineer, Code Enforcement Officer, Construction Inspector, Deputy Director, Development Services Manager, Development Services Technician, Development Services Technician, Development Services Technician, Engineering Technician, Intern, Intern, Junior Engineer, Junior Engineer, Management Analyst I, Management Analyst II, Senior Building Inspector, Senior Building Inspector, Senior Planner, Senior Planner, Senior Planner",3352950.0,31720.0,Santa Clara
CIT.234,LOS ANGELES,CITY,,,,,,,,,
CIT.235,LOS BANOS,CITY,,,,,,,,,
CIT.236,LOYALTON,CITY,,,,,,,,,
CIT.237,LYNWOOD,CITY,Building & Safety,,Yes,,4,"Director Of Community Development, Senior Building Inspector/Assistant Building Official, Senior Planner, Senior Planner",505615.0,66660.0,Los Angeles
CIT.238,MADERA,CITY,Director Of Community Development,,Yes,,4,"2500 City Engineer, 2750 Chief Building Official, 2900 Senior Planner, 2950 Planning Manager",356962.0,66443.0,Madera
CIT.239,MALIBU,CITY,Environmental Sustainability,,Yes,,19,"Administrative Assistant, Building Inspector, Environmental Compliance Coordinator, Environmental Health Administrator, Environmental Health Administrator, Environmental Programs Manager, Environmental Sustainability Analyst, Environmental Sustainability Analyst, Environmental Sustainability Director/Building Official, Part Time Senior Permit Services Technician, Permit Services Technician, Permit Services Technician, Senior Administrative Assistant, Senior Building Inspector, Senior Permit Services Technician, Senior Plan Check Engineer, Supervising Building Inspector, Supervising Permit Service Technician, Wastewater Management Program Specialist",1951677.0,10604.0,Los Angeles
